election_year,state,constituency,seat_category,name,party,party_group,criminal_cases,education,age,assets,liabilities,net_worth,is_winner,is_bye_election
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,MANORANJAN BHAKTA,INC,INC,0,Post Graduate,65,,,,True,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,A K BISWAS,BSP,BSP,0,Graduate,61,7876500,65000,7811500,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,ASIT BARAN DUTTA,IND,Independent,0,Graduate,50,3070000,0,3070000,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,BISHNU PADA RAY,BJP,BJP,0,Graduate,54,,,,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,DEEPAK BISWAS,IND,Independent,0,Not Given,28,3000,0,3000,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,DR SHANMUGAM,LJNSP,Other parties,0,Doctorate,66,6166416,67070,6099346,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,GOUR CHANDRA MAJUMDER,IND,Independent,0,Graduate,37,,,,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,K KALIMUTHU,IND,Independent,1,8Th Pass,51,472440,73878,398562,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,K PERUMAL,SWD,Other parties,0,Literate,65,7752141,0,7752141,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,N K P NAIR,CPI(ML)(L),Other parties,0,Literate,49,772588,188000,584588,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,R S UMA BHARATHY,NCP,NCP,1,Not Given,40,59977,35000,24977,False,False
2004,Andaman & Nicobar Islands,Andaman & Nicobar Islands,GEN,TAPAN KUMAR BEPARI,CPM,CPM,0,Post Graduate,46,,,,False,False
2004,Andhra Pradesh,Adilabad,GEN,MADHUSUDHAN REDDY THAKKALA,TRS,TRS,0,Graduate Professional,59,7550000,120000,7430000,True,False
2004,Andhra Pradesh,Adilabad,GEN,DR S VENUGOPALA CHARY,TDP,TDP,0,Others,42,11580000,1247053,10332947,False,False
2004,Andhra Pradesh,Adilabad,GEN,MOTHE BARIK RAO,PRBP,Other parties,0,Graduate,32,,,,False,False
2004,Andhra Pradesh,Adilabad,GEN,NAINALA GOVERDHAN,IND,Independent,0,Post Graduate,30,0,0,0,False,False
2004,Andhra Pradesh,Amalapuram,GEN,D. MURALIKRISHNA,BSP,BSP,0,Others,59,6763811,748000,6015811,False,False
2004,Andhra Pradesh,Amalapuram,GEN,DUNNA JANARDHANA RAO,TDP,TDP,0,Graduate,51,988000,60000,928000,False,False
2004,Andhra Pradesh,Amalapuram,GEN,MUNEESWARA RAO BHUPATI,IND,Independent,0,Others,59,,,,False,False
2004,Andhra Pradesh,Amalapuram,GEN,YALANGI RAMESH,IND,Independent,0,Not Given,40,340000,0,340000,False,False
2004,Andhra Pradesh,Anakapalli,GEN,CHALAPATHIRAO PAPPALA,TDP,TDP,0,Graduate,58,5396505,246000,5150505,True,False
2004,Andhra Pradesh,Anakapalli,GEN,NANDA GOPAL GANDHAM,INC,INC,0,Not Given,,0,0,0,False,False
2004,Andhra Pradesh,Anantapur,GEN,ANANTHA VENKATA RAMI REDDY,INC,INC,0,Post Graduate,47,3890000,437636,3452364,True,False
2004,Andhra Pradesh,Anantapur,GEN,A. JAGAN MOHAN RAO,TRS,TRS,0,Graduate,32,505000,0,505000,False,False
2004,Andhra Pradesh,Anantapur,GEN,B. S. AMARNATH,IND,Independent,0,Graduate,42,,,,False,False
2004,Andhra Pradesh,Anantapur,GEN,GADDALA NAGABHUSHANAM,BSP,BSP,0,Graduate,41,97000,9000,88000,False,False
2004,Andhra Pradesh,Anantapur,GEN,K. VENKATESULU,PPOI,Other parties,0,12Th Pass,44,54000,0,54000,False,False
2004,Andhra Pradesh,Anantapur,GEN,KALAVA SRINIVASULU,TDP,TDP,0,Post Graduate,39,,,,False,False
2004,Andhra Pradesh,Anantapur,GEN,YATHAM POTHALAIAH,IND,Independent,0,Not Given,32,120000,0,120000,False,False
2004,Andhra Pradesh,Bapatla,GEN,DAGGUBATI PURANDARESWARI,INC,INC,0,Others,44,40907640,5212201,35695439,True,False
2004,Andhra Pradesh,Bapatla,GEN,CHELLAMALLA VENKATA REDDY,TRS,TRS,0,Graduate,,70000,0,70000,False,False
